rm: cannot remove 'tmp.*': No such file or directory
Traceback (most recent call last):
  File "/home/vivek/Documents/FOSS/apertium/apertium-lex-tools/scripts/merge-ngrams-lambdas.py", line 25, in <module>
    ngid = int(row[0].strip());
ValueError: invalid literal for int() with base 10: 'Traceback (most recent call last):'
^de<pr>$ 0 ^of<pr>$
^de<pr>$ 1 ^to<pr>$
^de<pr>$ 2 ^from<pr>$
^de<pr>$ 3 ^in<pr>$
^de<pr>$ 4 ^with<pr>$
^de<pr>$ 5 ^at<pr>$
^de<pr>$ 6 ^into<pr>$
^precio<n><m><pl>$ 0 ^price<n><pl>$
^en<pr>$ 0 ^in<pr>$
^en<pr>$ 1 ^like<pr>$
^en<pr>$ 2 ^of<pr>$
^precio<n><m><sg>$ 0 ^price<n><sg>$
^precio<n><m><sg>$ 1 ^run<n><sg>$
^precio<n><m><sg>$ 2 ^commodity<n><pl>$
^precio<n><m><sg>$ 3 ^leap<n><sg>$
^aumentar<vblex><ifi><p3><sg>$ 0 ^move<vblex><pp>$
^por<pr>$ 0 ^by<pr>$
^por<pr>$ 1 ^of<pr>$
^índice<n><m><sg>$ 0 ^index<n><sg>$
^decir<vblex><inf>$ 0 ^argue<vblex><inf>$
^política<n><f><sg>$ 0 ^policy<n><sg>$
^decir<vblex><pri><p1><pl>$ 0 ^drive<vblex><pp>$
^decir<vblex><pp><m><sg>$ 0 ^argue<vblex><pp>$
^ascendente<adj><mf><sg>$ 0 ^upward<adj>$
^aumentar<vblex><pri><p3><sg>$ 0 ^drive<vblex><ger>$
^dirección<n><f><sg>$ 0 ^direction<n><sg>$
^decir<vblex><pri><p1><sg>$ 0 ^say<vblex><pres>$
^compromiso<n><m><sg>$ 0 ^engagement<n><sg>$
^bien<n><m><pl>$ 0 ^capital<n><sg>$
^único<adj><f><sg>$ 0 ^single<adj>$
^dejar<vblex><inf>$ 0 ^stop<vblex><inf>$
^mandato<n><m><sg>$ 0 ^liberty<n><pl>$
